no;Item1;Item2;Item3;Item4;Item5;Item6;Item7;Item8;Item9;Item10;Item11;Item12;Item13;Item14;Item15;Item16;Item17;Item18;Item19;Item20;group;criterion
48;1;1;1;1;0;0;1;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0.293
49;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0.606
50;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0.116
51;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0;1;1;1;1;0.855
52;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;1;1;1;0.45
53;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0.487
54;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;1;1;1;0;1;0.626
55;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0.437
56;1;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0.508
57;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;0;0;0;1;1;1;2.032
58;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1.013
59;0;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0.702
60;1;0;1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1.68
61;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.823
62;0;1;1;0;1;1;0;1;0;1;1;0;1;0;1;1;0;1;1;0;0;0.739
63;1;1;0;1;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1.055
64;0;0;0;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0.442
65;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;0;1;0;1;0.67
66;0;0;0;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0;0.33
67;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0.571
68;1;0;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0.064
69;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0.382
70;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0.807
71;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0.551
72;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;1;-0.258
73;1;1;1;0;1;1;0;1;0;1;1;1;1;0;1;0;0;1;0;0;1;0.226
74;1;1;1;0;1;1;1;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0.367
75;0;0;0;0;0;1;0;1;0;1;1;1;1;0;1;0;1;0;1;1;0;1.003
76;1;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;0.492
77;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0.946
78;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0.031
79;0;0;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;1;1;0;1;0.743
80;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0.183
81;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0;0;0;1;0;1;1;0.741
82;0;1;1;1;1;0;1;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0.127
83;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;1;0;1;0;0;1;0.307
84;0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0.366
85;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;-0.103
86;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;1;1;1;0.247
87;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.44
88;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;-0.024
89;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;1;0.193
90;0;1;1;1;1;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1;0;0.595
91;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0.474
92;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;0;1;1.369
93;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0;1;0;1;0.121
94;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;0.916
95;1;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0.737
96;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;1;0.041
97;1;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0.297
98;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;0;0;0.572
99;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;1;-0.189
100;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0.187
101;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1.108
102;1;1;1;0;1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;1;1;0.739
103;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;1;1;1;0;1;0.713
104;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0.239
105;0;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;0;0;1;1;-0.338
106;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;-0.01
107;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0.338
108;0;1;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1;0;1;1;0;0.491
109;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0.55
110;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0.25
111;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;0;1;1;0;1;0.105
112;0;0;1;1;1;0;1;1;1;0;0;1;1;1;1;0;1;0;1;0;1;0.612
113;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0.7
114;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;1;1;0;1.064
115;0;1;0;1;1;0;1;1;0;0;1;0;0;1;1;0;0;0;1;1;1;0.232
116;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0.704
117;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0.649
118;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;1;0;0.765
119;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;1;1;0.07
120;1;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0.62
121;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1.281
122;0;0;1;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;0;1;1;0.642
123;0;1;1;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0.429
124;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;0;1;1;0;0.56
125;0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;0;0;1;0;1;1;0.512
126;1;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;-0.185
127;1;0;0;0;1;0;0;1;1;0;1;1;1;0;0;0;0;1;0;1;1;-0.34
128;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1.072
129;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0;0;1;0.786
130;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0.698
131;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;1;0.489
132;0;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0.535
133;0;0;1;1;1;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;-0.285
134;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0.572
135;0;1;1;1;1;0;1;0;0;1;1;1;1;0;0;0;0;1;1;0;1;0.842
136;0;0;1;1;1;0;1;1;0;1;1;1;0;1;0;1;0;0;1;0;1;0.49
137;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0.349
138;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;0;0;1;0.789
139;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;0;0;1;1;0;0;0.568
140;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0.468
141;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;0;0;1;0.614
142;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0.352
143;0;0;1;0;1;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0.898
144;1;1;1;0;1;1;0;1;1;0;1;1;1;0;0;1;1;0;1;1;0;1.102
145;1;0;0;1;1;0;1;1;1;0;1;0;1;0;1;0;1;0;0;0;0;-0.236
146;0;1;0;1;1;1;0;1;1;0;1;1;1;0;1;1;0;0;0;1;0;0.558
147;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;0;0.661
148;1;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0.541
149;0;0;0;0;1;1;0;0;1;1;1;0;0;0;1;1;0;1;0;0;1;-0.485
150;1;0;1;1;0;1;0;0;0;1;1;1;0;0;1;1;0;1;0;0;1;-0.597
151;0;0;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0.128
152;0;0;0;1;0;1;1;1;0;0;1;0;1;1;0;0;1;0;0;0;1;0.448
153;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0.942
154;0;1;0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;0;1;1;1;0.99
155;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0.819
156;0;0;1;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0.933
157;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;1;0.485
158;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0.978
159;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1.332
160;1;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;0.102
161;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;1;0;1;0;-0.474
162;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;0;1;0;0;1;0.751
163;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0.577
164;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;-0.562
165;1;1;1;0;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0.671
166;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;1;1;0;0;1;1;0.592
167;1;0;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0.997
168;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1.196
169;0;0;1;1;1;0;1;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0.523
170;1;1;1;1;1;1;0;1;1;0;1;0;0;1;1;0;1;0;1;1;0;0.51
171;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0.138
172;1;0;1;1;1;1;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0.71
173;0;1;1;0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0.952
174;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0.448
175;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;0.58
176;1;0;1;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;1;0;0;0.404
177;0;0;1;1;1;1;0;1;1;0;1;1;1;0;1;0;0;1;1;0;1;0.515
178;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;0.559
179;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0.426
180;0;0;1;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0.904
181;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1.372
182;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1.482
183;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;0.484
184;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0.889
185;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0.746
186;0;0;1;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1.392
187;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;1;1;1;0;1.627
188;0;1;0;1;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0.446
189;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0.534
190;1;1;1;0;1;1;0;1;0;1;0;1;1;0;1;1;0;1;0;1;0;1.284
191;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1.062
192;1;0;1;1;1;1;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1.331
193;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;0;0;1;0;1;0;0.604
194;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0.557
195;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1.079
196;1;0;0;1;1;1;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;0.262
197;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0;1;0;0;1;0;0;0.296
198;0;1;0;1;1;1;0;1;0;1;0;1;1;1;1;1;0;1;0;0;0;1.164
199;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;0;1;1;0;0;0.041
200;1;0;1;1;1;0;1;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0.492
201;0;0;1;1;1;0;1;1;1;0;1;0;1;0;0;1;0;0;1;0;1;0.949
202;1;0;1;1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0.658
203;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0.596
204;1;1;1;1;0;1;0;1;0;1;1;0;1;0;1;1;1;1;1;0;0;0.01
205;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;0;0.142
206;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;1.263
207;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;-0.079
208;0;1;0;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;0;1;1;0.385
209;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;1;0;0;0.977
210;0;1;0;1;1;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1;0.388
211;0;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0.939
212;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0.701
213;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0.849
214;0;1;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;0.648
215;0;0;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0.78
216;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0.167
217;1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1;0;0;1.169
218;1;0;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;1;1;0;0;0.714
219;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0.776
220;1;0;1;0;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;1;0;0.964
221;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;1;1;0;1;1.097
222;0;1;1;1;1;1;0;1;0;1;0;1;1;1;0;0;0;0;1;0;1;0.579
223;0;0;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;1;0.814
224;0;1;1;0;1;1;1;1;1;0;1;0;1;0;1;1;0;1;1;0;0;-0.046
225;0;1;1;0;1;0;1;0;1;1;1;1;1;1;0;1;0;0;0;0;1;0.74
226;1;1;0;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;-0.002
227;1;0;1;1;1;1;0;1;1;0;0;0;1;0;1;0;1;1;1;1;0;-0.047
228;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0.578
229;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;1;0;1;1;0;0;0.792
230;0;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;0;1;0.741
231;1;1;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1.041
232;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0.746
233;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0.771
234;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0.038
235;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1.44
236;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1.162
237;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;1;1;0;0;0.799
238;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0.696
239;0;1;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0;1;0.651
240;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0.806
241;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;1;0;0;0;0;-0.386
242;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;1;1;1;1;0.878
243;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0.805
244;1;1;1;1;1;0;1;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0.798
245;1;0;1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1.232
246;0;0;1;1;1;0;1;1;1;0;1;1;0;0;1;0;1;0;0;0;1;0.012
247;0;1;1;1;1;1;0;1;0;1;1;0;0;0;1;1;1;0;0;1;1;0.04
248;0;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0.341
249;1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0.95
250;0;0;1;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;0;1;-0.049
251;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;1;0;0;1.004
252;1;1;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0.487
253;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;1;1;0;0.901
254;0;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;0;0;1;0;0.596
255;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0.654
256;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;0;0;1;1;0.623
257;1;1;1;1;0;1;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;2.128
258;1;1;1;0;1;1;0;0;0;0;1;1;1;0;1;0;1;1;1;0;1;0.842
259;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;1;0.714
260;1;1;1;0;1;1;0;1;1;1;1;1;1;0;0;0;1;1;0;1;0;1.637
261;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0.044
262;1;1;1;1;1;1;0;1;1;0;1;0;1;0;1;0;1;1;1;1;1;0.853
263;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1.02
264;0;0;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;1;1;0.563
265;1;1;1;1;0;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;0;0.484
266;0;0;1;1;1;0;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0.251
267;1;1;1;0;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0.837
268;0;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;0;0;0;1;0.047
269;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;1.111
270;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0.132
271;0;0;1;1;1;1;0;1;1;0;1;1;1;0;1;0;1;0;0;1;1;0.733
272;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;1;0;-0.024
273;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;1;0;1;1;0;0;0.364
274;0;0;0;1;0;1;1;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0.275
275;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1.318
276;0;0;1;1;1;1;0;0;1;0;1;1;1;1;0;1;0;0;0;0;1;0.694
277;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;0;1;0.793
278;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;1;0.035
279;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0.591
280;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;1;1;1;0.276
281;0;0;1;1;1;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1;0.511
282;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;1;0;0;0.253
283;1;1;0;1;1;0;0;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0.459
284;0;0;1;0;1;1;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0.396
285;0;1;1;1;1;0;1;1;0;1;1;1;1;0;1;0;1;0;1;1;1;0.068
286;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0.371
287;1;0;1;1;1;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0.584
